Date,Price,Open,High,Low,Change %
"May 24, 2017",64.77,64.93,64.97,64.715,-0.19%
"May 23, 2017",64.895,64.685,64.92,64.655,0.60%
"May 22, 2017",64.51,64.53,64.655,64.46,-0.09%
"May 19, 2017",64.565,64.725,65.025,64.565,-0.49%
"May 18, 2017",64.88,64.4,64.92,64.327,1.17%
"May 17, 2017",64.13,64,64.175,63.99,0.13%
"May 16, 2017",64.045,64.075,64.165,64.04,-0.03%
"May 15, 2017",64.065,64.13,64.18,64.025,-0.28%
"May 12, 2017",64.243,64.305,64.377,64.243,-0.25%
"May 11, 2017",64.405,64.595,64.595,64.35,-0.33%
"May 10, 2017",64.615,64.694,64.694,64.555,-0.10%
"May 09, 2017",64.68,64.44,64.705,64.44,0.50%
"May 08, 2017",64.36,64.26,64.385,64.21,0.07%
"May 05, 2017",64.315,64.235,64.395,64.235,0.16%
"May 04, 2017",64.215,64.195,64.25,64.18,0.08%
"May 03, 2017",64.165,64.14,64.2,64.115,0.00%
"May 02, 2017",64.165,64.147,64.25,64.125,-0.14%
"May 01, 2017",64.255,64.285,64.285,64.255,-0.05%
"Apr 28, 2017",64.29,64.13,64.4,64.13,0.27%
"Apr 27, 2017",64.115,64.065,64.175,63.985,-0.02%
"Apr 26, 2017",64.13,64.32,64.33,63.94,-0.31%
"Apr 25, 2017",64.33,64.425,64.425,64.215,-0.25%
"Apr 24, 2017",64.49,64.537,64.542,64.41,-0.25%
"Apr 21, 2017",64.65,64.66,64.69,64.565,0.05%
"Apr 20, 2017",64.62,64.64,64.727,64.536,-0.07%
"Apr 19, 2017",64.665,64.575,64.665,64.525,0.09%
"Apr 18, 2017",64.605,64.515,64.655,64.485,0.19%
"Apr 17, 2017",64.48,64.44,64.55,64.305,0.00%
"Apr 14, 2017",64.48,64.443,64.48,64.443,0.05%
"Apr 13, 2017",64.445,64.455,64.493,64.272,-0.38%
"Apr 12, 2017",64.69,64.625,64.73,64.535,0.21%
"Apr 11, 2017",64.555,64.575,64.695,64.41,-0.08%
"Apr 10, 2017",64.605,64.325,64.61,64.325,0.52%
"Apr 07, 2017",64.27,64.599,64.744,64.154,-0.52%
"Apr 06, 2017",64.606,65.044,65.059,64.504,-0.41%
"Apr 05, 2017",64.875,65.075,65.175,64.875,-0.31%
"Apr 04, 2017",65.08,65.15,65.15,65.07,0.15%
"Apr 03, 2017",64.985,64.825,65.11,64.785,0.19%
"Mar 31, 2017",64.86,64.93,64.99,64.8,0.00%
"Mar 30, 2017",64.86,64.85,64.99,64.85,-0.02%
"Mar 29, 2017",64.875,65.125,65.125,64.865,-0.26%
"Mar 28, 2017",65.045,65.11,65.135,65.04,0.08%
"Mar 27, 2017",64.995,65.295,65.295,64.98,-0.66%
"Mar 24, 2017",65.425,65.505,65.545,65.385,-0.05%
"Mar 23, 2017",65.455,65.425,65.588,65.4,0.00%
"Mar 22, 2017",65.455,65.585,65.59,65.395,0.17%
"Mar 21, 2017",65.345,65.424,65.475,65.234,0.00%
"Mar 20, 2017",65.345,65.425,65.495,65.315,-0.20%
"Mar 17, 2017",65.475,65.485,65.675,65.405,0.14%
"Mar 16, 2017",65.385,65.405,65.535,65.255,-0.37%
"Mar 15, 2017",65.63,65.77,65.79,65.42,-0.22%
"Mar 14, 2017",65.775,66.225,66.265,65.75,-0.61%
"Mar 13, 2017",66.18,66.15,66.19,66.15,-0.56%
"Mar 10, 2017",66.555,66.745,66.745,66.555,-0.20%
"Mar 09, 2017",66.69,66.837,66.875,66.665,-0.11%
"Mar 08, 2017",66.765,66.633,66.77,66.63,0.21%
"Mar 07, 2017",66.625,66.68,66.7,66.595,-0.07%
"Mar 06, 2017",66.675,66.8,66.8,66.66,-0.16%
"Mar 03, 2017",66.78,66.9,66.91,66.78,-0.01%
"Mar 02, 2017",66.785,66.782,66.808,66.69,-0.12%
"Mar 01, 2017",66.865,66.715,66.915,66.715,0.21%
"Feb 28, 2017",66.725,66.765,66.835,66.645,0.04%
"Feb 27, 2017",66.7,66.72,66.78,66.65,0.08%
"Feb 24, 2017",66.645,66.656,66.705,66.615,-0.07%
"Feb 23, 2017",66.69,66.905,66.965,66.69,-0.39%
"Feb 22, 2017",66.95,67.007,67.067,66.927,-0.05%
"Feb 21, 2017",66.985,66.99,67.025,66.947,0.12%
"Feb 20, 2017",66.905,67.07,67.07,66.905,-0.26%
"Feb 17, 2017",67.08,67.14,67.167,67,0.00%
"Feb 16, 2017",67.08,66.96,67.135,66.915,0.31%
"Feb 15, 2017",66.875,66.945,67.005,66.875,0.06%
"Feb 14, 2017",66.835,66.925,67,66.805,-0.21%
"Feb 13, 2017",66.975,66.952,67.087,66.947,0.18%
"Feb 10, 2017",66.854,66.851,67.021,66.801,0.13%
"Feb 09, 2017",66.765,67.065,67.088,66.725,-0.43%
"Feb 08, 2017",67.05,67.385,67.385,67.05,-0.45%
"Feb 07, 2017",67.35,67.2,67.465,67.2,0.23%
"Feb 06, 2017",67.195,67.225,67.255,67.145,0.02%
"Feb 03, 2017",67.184,67.209,67.429,67.184,-0.04%
"Feb 02, 2017",67.21,67.385,67.51,67.21,-0.30%
"Feb 01, 2017",67.415,67.669,67.704,67.415,-0.15%
